Lp.,Tytuł,Autor,Seria,Tom,Wydawnictwo,Liczba stron,Okładka,Przeczytane
1,"""All of your flaws""",Marta Łabęcka,Flaw(less),2,BeYA,452,miękka ,nie
2,"""Angel""",Brylewska Julia,Inferno,2,NieZwykle,311,miękka ,tak
3,"""Bad friends 2""",Aleksandra Negrońska,Friends,2,NieZwykle,380,miękka ,tak
4,"""Bad friends""",Aleksandra Negrońska,Friends,1,NieZwykle,335,miękka ,tak
5,"""Baśniobór""",Mull Brandon,,1,BeYA,,miękka ,tak
6,"""Binding 13""",Chloe Walsh,Boys of Tommen,1,NieZwykle Zagraniczne,475,miękka ,nie
7,"""Birthday girl""",Douglas Penelope,,,NieZwykle,464,miękka ,tak
8,"""Bitter""",P.SHerytiera [Pizgacz],,1,BeYA,459,miękka,nie
9,"""Burn the hell - runda czwarta""",P.SHerytiera [Pizgacz],Trylogia Hell,4,BeYA,680,miękka,tak
10,"""Burn the hell - runda trzecia""",P.SHerytiera [Pizgacz],Trylogia Hell,3,BeYA,596,miękka,tak
11,"""Clone""",Aleksandra Negrońska,Students,1,NieZwykle,576,miękka ,tak
12,"""Co wyszeptał nam deszcz""",Balicka Joanna,,,NieZwykle,306,miękka ,tak
13,"""Conclave""",Douglas Penelope,Devil's Night,3.5,NieZwykle Zagraniczne,113,miękka ,nie
14,"""Corrupt""",Douglas Penelope,Devil's Night,1,NieZwykle,479,miękka ,tak
15,"""Crown""",Sylwia Zandler,Royal Trilogy,2,NieZwykle,293,miękka ,tak
16,"""Czy to sen?""",Klewicz Natalia,Neony,1,BeYA,287,miękka ,tak
17,"""Deceiving destiny together""",Weronika Szutkowska,Together,2,NieZwykle,237,miękka ,nie
18,"""Devil""",Brylewska Julia,Inferno,1,NieZwykle,353,miękka ,tak
19,"""Different""",Aleksandra Negrońska,Students,2,NieZwykle,614,miękka,nie
20,"""Dotnij mnie""",Mafi Tahereh,,1,We need YA,444,twarda,nie
21,"""Dwór cierni i róż""",Maas Sarah J.,Dwory,1,Uroboros,,miękka ,tak
22,"""Dwór mgieł i furii""",Maas Sarah J.,Dwory,2,Uroboros,764,miękka ,tak
